state,year,type_variable,value
AK,1990,state_unemployment,0.06622439693684992
AK,1991,state_unemployment,0.07911420833197516
AK,1992,state_unemployment,0.0825307486939641
AK,1993,state_unemployment,0.06993398967732636
AK,1994,state_unemployment,0.06628762316007475
AK,1995,state_unemployment,0.06368155200115576
AK,1996,state_unemployment,0.06436475724130931
AK,1997,state_unemployment,0.061402781435634234
AK,1998,state_unemployment,0.05250607355178272
AK,1999,state_unemployment,0.05396727010076447
AK,2e3,state_unemployment,0.05606663304546027
AK,2001,state_unemployment,0.05538586341185302
AK,2002,state_unemployment,0.0634755572290138
AK,2003,state_unemployment,0.06831311822655206
AK,2004,state_unemployment,0.0639443723909079
AK,2005,state_unemployment,0.05895070920272633
AK,2006,state_unemployment,0.057466747724282126
AK,2007,state_unemployment,0.0555476614319647
AK,2008,state_unemployment,0.05948846677862439
AK,2009,state_unemployment,0.07054859696389829
AK,2010,state_unemployment,0.07062522310299216
AK,2011,state_unemployment,0.06600595283955164
AK,2012,state_unemployment,0.06086837124815135
AK,2013,state_unemployment,0.05878489621983519
AK,2014,state_unemployment,0.05825545772691449
AK,2015,state_unemployment,0.05632528218835551
AK,2016,state_unemployment,0.06145600672346601
AK,2017,state_unemployment,0.06560360314844475
AK,2018,state_unemployment,0.06232284559738636
AL,1990,state_unemployment,0.06031646105447645
AL,1991,state_unemployment,0.06588012548408344
AL,1992,state_unemployment,0.06873934979964709
AL,1993,state_unemployment,0.0663615998788353
AL,1994,state_unemployment,0.056754707612616216
AL,1995,state_unemployment,0.05329489896939215
AL,1996,state_unemployment,0.04431791636820853
AL,1997,state_unemployment,0.042535890374872695
AL,1998,state_unemployment,0.03765537991670129
AL,1999,state_unemployment,0.04073125498093923
AL,2e3,state_unemployment,0.042330034994554476
AL,2001,state_unemployment,0.046674147228627914
AL,2002,state_unemployment,0.05456187866604278
AL,2003,state_unemployment,0.05590543870838559
AL,2004,state_unemployment,0.05359161019554287
AL,2005,state_unemployment,0.04259612729462338
AL,2006,state_unemployment,0.03777602937589829
AL,2007,state_unemployment,0.036536502419093946
AL,2008,state_unemployment,0.051951181079770564
AL,2009,state_unemployment,0.10235529144360885
